Job request,Added to calendar manually,Clients,Status,Timechunk,Scheduled,Last touched date,Days since last touched,Notes,Due date,People,Attachment
R shiny cost tool to be added to PopSim website,,POPSIM,INVOICE,1 hour,,9/24/2025,123,"""Shiny App iframe Embed Code""",,,
UNC FoRtitude Study,checked,UNC Gillings,PRIORITY,3 hours,,6/26/2025,213,"Lynne Wagner, Nadja, Alli, Mattias Jonsson
- https://airtable.com/appp3h115fuuBQvRY/tbljEEUvBXAE90j8w/viwrKEnQuKJDpGEIX?blocks=hide ",,,
CSU PROJECTS ALL,,CSU OIE Inclusive Excellence ColoState,PRIORITY,,,1/15/2026,10,https://docs.google.com/document/d/1Ftdmy1cptiPfXv3M1-aUp-D-jardxh5qqhuahp99kMM/edit?tab=t.0 ,,,
Water Institute Student Success Stories,,Water Institute ,ACTIVE,2 hours,,9/17/2025,130,"""Compiled List for Student Success Stories""	",,,
Accessibility rule for gillings-projects.unc.edu,,UNC Gillings,ACTIVE,2 hours,,10/13/2025,104,"""New web accessibility rule: What it means for Gillings content creators""",4/24/2026,Tamiyah Braswell,
SpotterCharts team profile template ,,Spottercharts,ACTIVE,2 hours,,10/21/2025,96,,,,
"GLFW add ""Facts"" content in once finalized",,Water Institute ,ACTIVE,2 hours,,10/27/2025,90,To-do list: https://docs.google.com/document/d/1MtjzuBdQx1hLc7gbSdirGNrtZAy35cLe38jQZznr2r8/edit?tab=t.0#heading=h.9muizu13w97 ,,,
CCIS website & team website (Becky Lee & Julianna Villarosa),,CPCRN (Becky Lee),ACTIVE,1 hour,,11/4/2025,82,"""Design request form""
- My team will review the wireframe on Monday, 11/17; I’ll be able to confirm some details and further refine the wireframe after that. My goal is to have this wrapped up by EOD Wednesday, 11/19, so that you have time to review.
- Friday 11/21 meeting",,,
"Definian spreadsheets changes to articles content OR updates per AI, not TTC",,Definian (formerly Premier),ACTIVE,2 hours,,11/26/2025,60,,11/3/2025,,
Definian to-do list,,Definian (formerly Premier),ACTIVE,1 hour,,12/2/2025,54,https://docs.google.com/document/d/1ybBWu7KNsdaZZwt1ELKiJxc0RyYLEC9OqCC5LdApmp0/edit?tab=t.0#heading=h.z711ojieg8h4 ,,,
Cliff Cottage business card,,Cliff Cottage,ACTIVE,1 hour,,12/2/2025,54,,,,
"Sheps(Data)+ website work (SEO, content, design) & logo design",,Sheps(Data)+,ACTIVE,3 hours,,12/8/2025,48,,,,
AdrialDesigns: switch out calendly with https://cal.com/,,Adrial Designs,ACTIVE,1 hour,,12/11/2025,45,"$144 to be charged May 17, 2026	",,,
"Clayton ""costing calculator"" project",,POPSIM,ACTIVE,1 hour,,12/14/2025,42,,,,
TTC content fixes,,Definian (formerly Premier),ACTIVE,1 hour,,12/15/2025,41,"""Regarding Definian Website Updates""	",,,
UNC Gillings: New branding plan,,UNC Gillings,ACTIVE,1 hour,,12/22/2025,34,"Meg on holiday through 1/5/26. Original email from Tamiyah ""NEW BRANDING""
- Alumni in Focus, Carolina Public Health, Frontlines",,,
Cabo Broncos new 2026 plan,,Donald Whittier,ACTIVE,1 hour,,12/30/2025,26,"- 12/30/25 conversation via WhatsApp & google doc: https://docs.google.com/document/d/1AWE09TaYNifLYFXKq4DFiFtqrKSn3Gv_y6dS9e-RUZo/edit?tab=t.0 
- Subject: ""to do broncos""",,,
Gillings Mailerlite updates new branding,,UNC Gillings,ACTIVE,2 hours,,1/5/2026,20,"TWAG done, but Alumni in Focus, Carolina Public Health, and Frontlines also need to be updated",,,
Leah potential project,,UNC Gillings,ACTIVE,1 hour,,1/6/2026,19,"Initial meeting January 6, 2026; discussed with team 1/14",,,
MPH Career Paths Tool,,UNC Gillings,ACTIVE,2 hours,,1/15/2026,10,"Subject ""MPH Career Paths Presentation"" from Will",,,
POPSIM reorganization of website,,POPSIM,ACTIVE,1 hour,,1/16/2026,9,"- Before our costing calculator meeting, Meghan mentioned wanting to reorganize the website to have different landing pages per grouping of tools and redesign the homepage to be more of a ""hub"" to point to those landing pages.",,,
CPH Magazine - timeline?,,UNC Gillings,ACTIVE,,,1/16/2026,9,"timeline for digital before grad, rebrand masthead & website",,,
Oracle lander updates,,Definian (formerly Premier),ACTIVE,2 hours,,1/21/2026,4,"Subject: ""Oracle lander"" ",,,
Water Institute & Lead website rebrand,,Water Institute ,ACTIVE,1 hour,,1/21/2026,4,"subject: ""WI and lead site branding""",,,
"Cliff Cottage website updates (articles, attractions, packages)",,Cliff Cottage,WAITING ON,1 hour,,1/9/2025,381,Subject: “Day trip planner” app for Cliff Cottage,,,
Importing business,,Donald Whittier,WAITING ON,2 hours,,5/29/2025,241,Donald has been asked how he gets things imported into Mexico and he wants to create a one-pager website that show the prices and how it works. ,,,
Cliff Cottage Inn updates,,Cliff Cottage,WAITING ON,2 hours,,6/3/2025,236,"'- Review post-booking guest comms (email + text) once test booking is sent
- Audit OTA listings (Booking.com, Expedia, TripAdvisor, Google) after launch
- Remove Ashley from About page",,,
Banzai to do,,Donald Whittier,WAITING ON,3 hours,,6/4/2025,235,"- Zero for Five poster
- Recepcionista poster
- Google ad form submissions
    - WhatsApp recording 4/15 about the submissions ",,,
Homunculi 1-year old,,SelfCare (Sue Riffel),WAITING ON,2 hours,,6/4/2025,235,"Sue to send homunculus vector files — subject ""Homunculi""",,,
POPSIM: Oregon model,,POPSIM,WAITING ON,3 hours,,6/9/2025,230,"- Subject: ""Programming for Oregon model""
",,,
POPSIM: cost calculator,,POPSIM,WAITING ON,3 hours,,6/9/2025,230,Still awaiting spreadsheet from Meghan,,,
Cliff Cottage SEO keyword research & blog area,,Cliff Cottage,WAITING ON,2 hours,,6/16/2025,223,"- ""Blog page on website"" and ""Articles area""
- New articles: 
    - Colette: https://docs.google.com/document/d/1SpMRxDhTP1kxKUPUmmBPtz0qCfbfA8ne/edit
    - Stevenson: https://docs.google.com/document/d/1sYvM_yVgSOBckK_rwCnXti7H-h_Dwi3I/edit ",,,
SelfCare AI Optimization project,,SelfCare (Sue Riffel),WAITING ON,2 hours,,6/26/2025,213,,,,
Model Society redesign,,Model Society (David Bollt),WAITING ON,3 hours,,7/3/2025,206,,,,
SelfCare reimplement demo?,,SelfCare (Sue Riffel),WAITING ON,1 hour,,7/8/2025,201,"Subject: ""What do you think about...""",,,
Banzai/FirstActTV,,Donald Whittier,WAITING ON,2 hours,,7/23/2025,186,"- Business Model Blueprint: https://docs.google.com/document/d/1LMlVcbOL980zvQcEODjrqfYFGZMTCqZhaCCmbkEL9AY/edit?tab=t.0
- One-pager content: https://docs.google.com/document/d/1eOl4NGsBlNbo6sQBjmI_P1BMX-QzbG4cd-nntnW3qvI/edit?tab=t.0#heading=h.2gud7ko9zmjn ",,,
"""Live Young"" lifestyle brand",,Donald Whittier,WAITING ON,1 hour,,7/23/2025,186,"- They’re considering launching a clothing brand called “Live Young” as an alternative to the typical tourist t-shirt market in Cabo. The concept echoes Life is Good, with an organic, vacation-inspired aesthetic that isn’t party-centric.
- They envision “Live Young” expanding into a lifestyle mark or rating for experiences, similar to a Michelin star, where brands could seek a “Live Young” stamp of approval or have commercials produced that align with the ethos.",,,
Booking platform for Model Society,,Model Society (David Bollt),WAITING ON,2 hours,,7/29/2025,180,"- https://docs.google.com/document/d/1-VKr11XCfvZpBiycdkjXjZJEnkRWsC5ZfOFxDqj9tcI/edit?tab=t.0#heading=h.tqw8j4btep1q
- Memberstack, Claude code & Webflow cloud: https://youtu.be/2h0YN9HgUTg?si=xHVc7kB0KitXDfpE",,,
