Event Name,Start Time,End Time,Event ID,Created
GET NEW CAR TITLE,1/14/2015 2:00pm,1/14/2015 3:00pm,_6l138e2688s4cb9n6514ab9k8533ab9p6l1kab9j88r3eghi88o48dq184,12/15/2025 3:36pm
MUSEUM OF LIFE & SCIENCE FREE DAY!,10/7/2025 12:00pm,10/7/2025 7:00pm,_8grk2h1k70rj8b9p88ok8b9k8h2kcba28osjcba38l332g9m8opkcha670,8/20/2025 9:11am
Meg Palmer: Adrial Designs Meeting (25 mins),10/8/2025 3:30pm,10/8/2025 3:55pm,rjbhutsot5ei2kbmvk0e5f253o,10/6/2025 12:03pm
Transition Call for NNC,10/9/2025 12:30pm,10/9/2025 1:30pm,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g6ss3cgpj8krj2hhh6cp48gpg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g8l136dpp74q4ce9h6kp3idhk8p13ehi48gpj8gpg68ok2chh890g,10/1/2025 12:42pm
MTG: CRAIG (PRE-LAUNCH),10/9/2025 5:00pm,10/9/2025 6:00pm,_8cqk4di68p33iba56ookab9k6l2j8ba170sj4b9o84rj2h9o61142dq66k,10/9/2025 7:14pm
MTG: DON (PRE-LAUNCH),10/9/2025 6:00pm,10/9/2025 7:00pm,_64sk8h9g6923cba56soj4b9k8l23cb9o8ook8b9k8d1kcghh8cs44d1l68,10/9/2025 7:14pm
DEFINIAN WORK!,10/10/2025 11:00am,10/10/2025 1:55pm,_6t2k2gq58p0j6b9i6t0j2b9k74r4aba164oj8b9o8p34cga68d1jgg9p6c,10/9/2025 5:47pm
Flu shot,10/10/2025 2:45pm,10/10/2025 3:45pm,_6kr4cd9m88pkcba16p2jab9k6or3ab9o8ork2b9k74o32dhi8osjeg9h6k,9/9/2025 5:05pm
Intertribal powwow,10/11/2025 11:30am,10/11/2025 6:30pm,_6kok4d9i8p14cba18923cb9k70oj8b9o84o38ba48l34ad258d2k4h9g8g,9/17/2025 12:43am
ADRIAL HAIRCUT (4 wks),10/12/2025 3:00pm,10/12/2025 4:00pm,_6cq42g9p8csjaba28cs46b9k64sjgba16d2k6b9j6t34cgpk8gojadi184,10/13/2025 8:17pm
CLEF HANGERS AT SOUTHERN VILLAGE GREEN,10/12/2025 4:00pm,10/12/2025 7:00pm,_6114cdq289348ba48d23gb9k6go3ib9p68o3eba48h0jac1j8gr36e1p8g,9/25/2025 12:51pm
MTG: KIRAN (TOSS THE COIN),10/14/2025 10:00am,10/14/2025 11:00am,_68p3ge1m8l0k6b9n6kpjeb9k8co3eba16d2jgb9l64p34d9i68qj4ca468,10/6/2025 8:22pm
[BLOCKED OFF],10/14/2025 1:00pm,10/14/2025 5:00pm,_6l2jiea46co3cb9p6913ab9k6h338ba28ksj4b9o6osj4c9o8oqkcc2270,10/13/2025 8:09pm
[BLOCKED OFF],10/14/2025 3:00pm,10/14/2025 11:00pm,_84oj2d9l890jcb9h84qj4b9k69234ba26d34cba48d344e216os34ga664,10/13/2025 8:06pm
[BLOCKED OFF],10/14/2025 3:00pm,10/14/2025 7:00pm,_7133ge2370okab9k64pj6b9k8h0j4b9o892jcb9p70o3idi684q3icpj84,10/13/2025 8:09pm
MTG: KAIDA & AARON,10/15/2025 1:00am,10/15/2025 2:00am,_8osk4hi48cqk8b9l64s3cb9k6d2k6ba16p1j4b9j6kpk2cph6kp46ca28k,10/13/2025 11:07pm
[BLOCKED OFF],10/15/2025 10:00am,10/15/2025 1:00pm,_64q34h1k68o3aba188rk4b9k84r44ba264pj2ba169342e1i8cq3gd1m6c,10/13/2025 8:10pm
LUNCH,10/15/2025 1:00pm,10/15/2025 2:00pm,_8go48dhi8l144ba384sk8b9k891k2b9o6ksj8b9i6p144h1g8or42gpk88,10/13/2025 8:10pm
[BLOCKED OFF],10/15/2025 2:00pm,10/15/2025 5:45pm,_68sjcga668rkab9h6gpjab9k6spkcba174ok6b9l6t34aca26oo3gd1i60,10/13/2025 8:10pm
Becky Lee: Adrial Designs Meeting (50 mins),10/16/2025 12:00pm,10/16/2025 12:50pm,k1ea87t4b4rm2rq6faa9phi19k,10/7/2025 10:11am
LUNCH,10/16/2025 12:45pm,10/16/2025 1:30pm,_750j2gi3610jaba56cq44b9k70pjaba2651jaba46sr32hi66kr34chp6g,10/13/2025 8:10pm
Heather physical at Carrboro appt 2-3,10/16/2025 1:30pm,10/16/2025 3:30pm,_60p36cpp88pjab9h61248b9k8csjgb9o6l2jgb9p74rj2c1l8os38di274,10/10/2024 2:46pm
MTG: FORTITUDE 1:30-3P,10/16/2025 1:30pm,10/16/2025 4:00pm,_6cpkad9i8cq3gb9j8kpk6b9k6133iba26h0kcb9h6oqkcca284r3acpp8g,10/16/2025 3:19pm
MTG: FORTITUDE 1:30-3P,10/16/2025 1:30pm,10/16/2025 4:00pm,_6cpkad9i8cq3gb9j8kpk6b9k6133iba26h0kcb9h6oqkcca284r3acpp8g_20251016T173000Z,10/16/2025 3:19pm
[BLOCKED OFF],10/16/2025 4:00pm,10/16/2025 7:00pm,_8oq4cdpj6h2jcb9h6p1jib9k70q48b9o6ssj2b9j6crjccq48p2jeh9p8c,10/13/2025 8:11pm
[BLOCKED OFF],10/16/2025 5:00pm,10/16/2025 7:00pm,_64pjcc9i6t1j6b9l8gq4cb9k612k2ba26p2k2b9h6123agpi8534ce9h6k,10/13/2025 8:18pm
Catherine  Rierson : Adrial Designs Meeting (50 mins),10/17/2025 12:00pm,10/17/2025 12:50pm,03v4k3oahvk7hlcipmgabpsukk,10/11/2025 8:30pm
LUNCH,10/17/2025 1:00pm,10/17/2025 2:00pm,_6d134h246or38ba16grj0b9k64pk8ba288o38b9g6kojic236h1k6cpn6c,10/13/2025 8:10pm
MTG: DANIELA,10/17/2025 5:30pm,10/17/2025 6:30pm,_88ok8c2260rjgb9l60s30b9k8ks38ba26spj6b9g651k8c1n8gok6e1n8k,10/14/2025 5:02pm
CUL-DE-SAC GATHERING!,10/18/2025 5:00pm,10/18/2025 8:30pm,_6ss38g9n6gq46b9m6cok4b9k6cp46b9o74oj0b9p70p36d9k6gp3adpo6g,9/15/2025 10:10am
"DECOMMISSION MOSQUITO STUFF (dunk buckets, machine)",10/19/2025 2:00pm,10/19/2025 3:00pm,_690jae1n68o3ab9k6or3ab9k64sjcba16sojab9j88qj0chm8d342gho6k,10/12/2025 12:42am
RESEARCH DISHWASHERS,10/19/2025 8:00pm,10/20/2025 8:00pm,_88s3ec9g74rj0b9o6sp3ab9k6oqkaba26d1j8b9g610k2e9h6os32dq364,7/26/2025 12:44pm
ADRIAL WASH HAIR,10/19/2025 11:00pm,10/20/2025 12:00am,_8h0j0da274o46ba36oq38b9k8p2k6ba184o46b9k8csj6c9k8d0kad1i6c,10/19/2025 7:35pm
[BLOCKED OFF FOR POSSIBLE USABILITY TESTING],10/20/2025 10:00am,10/20/2025 12:55pm,_74r44g9g690jib9o65348b9k6cqk6ba16oqk8ba464o44e9k64ojce1p6k,10/8/2025 4:38pm
LUNCH & WORKOUT,10/20/2025 1:00pm,10/20/2025 2:00pm,_8gsj4gq4750j4b9k6gpjab9k71344ba170oj0ba670ojge9o8go34h9o74,10/2/2025 3:06pm
[BLOCKED OFF FOR POSSIBLE USABILITY TESTING],10/20/2025 2:00pm,10/20/2025 6:00pm,_692j2dq18p13eba68kpjab9k89146ba18h1jab9p70o3gci588sk4h238c,10/2/2025 3:07pm
USABILITY STUDY PARTICIPANT,10/20/2025 2:00pm,10/20/2025 3:00pm,_64sjgcpn8ks34b9n70o46b9k8ksj2ba26p2k4b9o71238dhl6orjgdph88,10/16/2025 12:53pm
LUNCH & WORKOUT,10/20/2025 3:00pm,10/20/2025 4:00pm,_60p48e1h8l2j6b9k6l0j4b9k64sj4b9o6so46b9i6srj8e2288oj8cq26s,10/13/2025 2:32pm
Indra’s hair cut appt 630-7,10/20/2025 6:30pm,10/20/2025 8:00pm,_88p3ihi36d332ba38go46b9k8l248ba18534ab9j8p346d236ook8gq36o,8/25/2025 7:34pm
